areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2021-05-09,2195,4438446
overview,United Kingdom,K02000001,2021-05-08,1495,4436251
overview,United Kingdom,K02000001,2021-05-07,1905,4434756
overview,United Kingdom,K02000001,2021-05-06,2298,4432851
overview,United Kingdom,K02000001,2021-05-05,2510,4430553
overview,United Kingdom,K02000001,2021-05-04,2589,4428043
overview,United Kingdom,K02000001,2021-05-03,2160,4425454
overview,United Kingdom,K02000001,2021-05-02,1515,4423294
overview,United Kingdom,K02000001,2021-05-01,1407,4421779
overview,United Kingdom,K02000001,2021-04-30,1750,4420372
overview,United Kingdom,K02000001,2021-04-29,2200,4418622
overview,United Kingdom,K02000001,2021-04-28,2509,4416422
overview,United Kingdom,K02000001,2021-04-27,2181,4413913
overview,United Kingdom,K02000001,2021-04-26,2678,4411732
overview,United Kingdom,K02000001,2021-04-25,2147,4409054
overview,United Kingdom,K02000001,2021-04-24,1518,4406907
overview,United Kingdom,K02000001,2021-04-23,1978,4405389
overview,United Kingdom,K02000001,2021-04-22,2372,4403411
overview,United Kingdom,K02000001,2021-04-21,2690,4401039
overview,United Kingdom,K02000001,2021-04-20,2466,4398349
overview,United Kingdom,K02000001,2021-04-19,2848,4395883
overview,United Kingdom,K02000001,2021-04-18,2620,4393035
overview,United Kingdom,K02000001,2021-04-17,1692,4390415
overview,United Kingdom,K02000001,2021-04-16,2279,4388723
overview,United Kingdom,K02000001,2021-04-15,2316,4386444
overview,United Kingdom,K02000001,2021-04-14,2492,4384128
overview,United Kingdom,K02000001,2021-04-13,2446,4381636
overview,United Kingdom,K02000001,2021-04-12,2880,4379190
overview,United Kingdom,K02000001,2021-04-11,2367,4376310
overview,United Kingdom,K02000001,2021-04-10,2306,4373943
overview,United Kingdom,K02000001,2021-04-09,2850,4371637
overview,United Kingdom,K02000001,2021-04-08,3051,4368787
overview,United Kingdom,K02000001,2021-04-07,3127,4365736
overview,United Kingdom,K02000001,2021-04-06,3144,4362609
overview,United Kingdom,K02000001,2021-04-05,2626,4359465
overview,United Kingdom,K02000001,2021-04-04,2298,4356839
overview,United Kingdom,K02000001,2021-04-03,2402,4354541
overview,United Kingdom,K02000001,2021-04-02,2622,4352139
overview,United Kingdom,K02000001,2021-04-01,3473,4349517
overview,United Kingdom,K02000001,2021-03-31,3759,4346044
overview,United Kingdom,K02000001,2021-03-30,3593,4342285
overview,United Kingdom,K02000001,2021-03-29,3978,4338692
overview,United Kingdom,K02000001,2021-03-28,4645,4334714
overview,United Kingdom,K02000001,2021-03-27,3536,4330069
overview,United Kingdom,K02000001,2021-03-26,4385,4326533
overview,United Kingdom,K02000001,2021-03-25,5394,4322148
overview,United Kingdom,K02000001,2021-03-24,6005,4316754
overview,United Kingdom,K02000001,2021-03-23,5253,4310749
overview,United Kingdom,K02000001,2021-03-22,6196,4305496
overview,United Kingdom,K02000001,2021-03-21,5235,4299300
overview,United Kingdom,K02000001,2021-03-20,4097,4294065
overview,United Kingdom,K02000001,2021-03-19,4991,4289968
overview,United Kingdom,K02000001,2021-03-18,5472,4284977
overview,United Kingdom,K02000001,2021-03-17,5775,4279505
overview,United Kingdom,K02000001,2021-03-16,5672,4273730
overview,United Kingdom,K02000001,2021-03-15,6504,4268058
overview,United Kingdom,K02000001,2021-03-14,4298,4261554
overview,United Kingdom,K02000001,2021-03-13,4240,4257256
overview,United Kingdom,K02000001,2021-03-12,5582,4253016
overview,United Kingdom,K02000001,2021-03-11,5767,4247434
overview,United Kingdom,K02000001,2021-03-10,6030,4241667
overview,United Kingdom,K02000001,2021-03-09,6221,4235637
overview,United Kingdom,K02000001,2021-03-08,6642,4229416
overview,United Kingdom,K02000001,2021-03-07,4272,4222774
overview,United Kingdom,K02000001,2021-03-06,4490,4218502
overview,United Kingdom,K02000001,2021-03-05,5300,4214012
overview,United Kingdom,K02000001,2021-03-04,5717,4208712
overview,United Kingdom,K02000001,2021-03-03,5965,4202995
overview,United Kingdom,K02000001,2021-03-02,6650,4197030
overview,United Kingdom,K02000001,2021-03-01,6879,4190380
overview,United Kingdom,K02000001,2021-02-28,4709,4183501
overview,United Kingdom,K02000001,2021-02-27,4814,4178792
overview,United Kingdom,K02000001,2021-02-26,6569,4173978
overview,United Kingdom,K02000001,2021-02-25,7715,4167409
overview,United Kingdom,K02000001,2021-02-24,8534,4159694
overview,United Kingdom,K02000001,2021-02-23,9383,4151160
overview,United Kingdom,K02000001,2021-02-22,11240,4141777
overview,United Kingdom,K02000001,2021-02-21,7868,4130537
overview,United Kingdom,K02000001,2021-02-20,8048,4122669
overview,United Kingdom,K02000001,2021-02-19,10379,4114621
overview,United Kingdom,K02000001,2021-02-18,11402,4104242
overview,United Kingdom,K02000001,2021-02-17,11561,4092840
overview,United Kingdom,K02000001,2021-02-16,12476,4081279
overview,United Kingdom,K02000001,2021-02-15,14260,4068803
overview,United Kingdom,K02000001,2021-02-14,8752,4054543
overview,United Kingdom,K02000001,2021-02-13,8754,4045791
overview,United Kingdom,K02000001,2021-02-12,12151,4037037
overview,United Kingdom,K02000001,2021-02-11,12739,4024886
overview,United Kingdom,K02000001,2021-02-10,13480,4012147
overview,United Kingdom,K02000001,2021-02-09,13794,3998667
overview,United Kingdom,K02000001,2021-02-08,15698,3984873
overview,United Kingdom,K02000001,2021-02-07,11356,3969175
overview,United Kingdom,K02000001,2021-02-06,11967,3957819
overview,United Kingdom,K02000001,2021-02-05,15843,3945852
overview,United Kingdom,K02000001,2021-02-04,17953,3930009
overview,United Kingdom,K02000001,2021-02-03,19395,3912056
overview,United Kingdom,K02000001,2021-02-02,19753,3892661
overview,United Kingdom,K02000001,2021-02-01,22339,3872908
overview,United Kingdom,K02000001,2021-01-31,15372,3850569
overview,United Kingdom,K02000001,2021-01-30,16667,3835197
overview,United Kingdom,K02000001,2021-01-29,21771,3818530
overview,United Kingdom,K02000001,2021-01-28,24137,3796759
overview,United Kingdom,K02000001,2021-01-27,25670,3772622
overview,United Kingdom,K02000001,2021-01-26,26970,3746952
overview,United Kingdom,K02000001,2021-01-25,29900,3719982
overview,United Kingdom,K02000001,2021-01-24,17159,3690082
overview,United Kingdom,K02000001,2021-01-23,21822,3672923
overview,United Kingdom,K02000001,2021-01-22,29526,3651101
overview,United Kingdom,K02000001,2021-01-21,31663,3621575
overview,United Kingdom,K02000001,2021-01-20,35087,3589912
overview,United Kingdom,K02000001,2021-01-19,39465,3554825
overview,United Kingdom,K02000001,2021-01-18,44764,3515360
overview,United Kingdom,K02000001,2021-01-17,28843,3470596
overview,United Kingdom,K02000001,2021-01-16,30525,3441753
overview,United Kingdom,K02000001,2021-01-15,40400,3411228
overview,United Kingdom,K02000001,2021-01-14,42370,3370828
overview,United Kingdom,K02000001,2021-01-13,45382,3328458
overview,United Kingdom,K02000001,2021-01-12,49375,3283076
overview,United Kingdom,K02000001,2021-01-11,57096,3233701
overview,United Kingdom,K02000001,2021-01-10,36342,3176605
overview,United Kingdom,K02000001,2021-01-09,39080,3140263
overview,United Kingdom,K02000001,2021-01-08,47010,3101183
overview,United Kingdom,K02000001,2021-01-07,51932,3054173
overview,United Kingdom,K02000001,2021-01-06,57377,3002241
overview,United Kingdom,K02000001,2021-01-05,65094,2944864
overview,United Kingdom,K02000001,2021-01-04,76157,2879770
overview,United Kingdom,K02000001,2021-01-03,55167,2803613
overview,United Kingdom,K02000001,2021-01-02,60386,2748446
overview,United Kingdom,K02000001,2021-01-01,31845,2688060
overview,United Kingdom,K02000001,2020-12-31,52803,2656215
overview,United Kingdom,K02000001,2020-12-30,70794,2603412
overview,United Kingdom,K02000001,2020-12-29,81520,2532618
overview,United Kingdom,K02000001,2020-12-28,45600,2451098
overview,United Kingdom,K02000001,2020-12-27,47731,2405498
overview,United Kingdom,K02000001,2020-12-26,40370,2357767
overview,United Kingdom,K02000001,2020-12-25,14178,2317397
overview,United Kingdom,K02000001,2020-12-24,31818,2303219
overview,United Kingdom,K02000001,2020-12-23,42193,2271401
overview,United Kingdom,K02000001,2020-12-22,45658,2229208
overview,United Kingdom,K02000001,2020-12-21,47382,2183550
overview,United Kingdom,K02000001,2020-12-20,32460,2136168
overview,United Kingdom,K02000001,2020-12-19,25148,2103708
overview,United Kingdom,K02000001,2020-12-18,35832,2078560
overview,United Kingdom,K02000001,2020-12-17,33889,2042728
overview,United Kingdom,K02000001,2020-12-16,34928,2008839
overview,United Kingdom,K02000001,2020-12-15,33852,1973911
overview,United Kingdom,K02000001,2020-12-14,34728,1940059
overview,United Kingdom,K02000001,2020-12-13,21980,1905331
overview,United Kingdom,K02000001,2020-12-12,19366,1883351
overview,United Kingdom,K02000001,2020-12-11,24090,1863985
overview,United Kingdom,K02000001,2020-12-10,22614,1839895
overview,United Kingdom,K02000001,2020-12-09,21613,1817281
overview,United Kingdom,K02000001,2020-12-08,20787,1795668
overview,United Kingdom,K02000001,2020-12-07,21329,1774881
overview,United Kingdom,K02000001,2020-12-06,13579,1753552
overview,United Kingdom,K02000001,2020-12-05,12740,1739973
overview,United Kingdom,K02000001,2020-12-04,15657,1727233
overview,United Kingdom,K02000001,2020-12-03,15646,1711576
overview,United Kingdom,K02000001,2020-12-02,16473,1695930
overview,United Kingdom,K02000001,2020-12-01,16458,1679457
overview,United Kingdom,K02000001,2020-11-30,18012,1662999
